open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
1706011200000,38845.56000000,39088.01000000,38758.82000000,39065.67000000,2870.76139000,1706014799999,111673675.65970880,138882,1635.87056000,63641620.56149840,0
1706014800000,39065.68000000,39083.35000000,38853.39000000,38864.16000000,1462.05395000,1706018399999,56992155.31607750,87531,743.30812000,28976706.35600690,0
1706018400000,38864.15000000,38900.00000000,38555.00000000,38767.74000000,4060.57085000,1706021999999,157168291.11741250,217251,1851.76179000,71679579.82332990,0
1706022000000,38767.75000000,39460.00000000,38766.00000000,39204.00000000,5829.55514000,1706025599999,228157738.21633880,180336,3738.17231000,146325723.87113760,0
1706025600000,39204.00000000,39374.11000000,38925.20000000,39307.59000000,4118.59618000,1706029199999,161187339.39071470,118589,2583.75196000,101159716.29732910,0
1706029200000,39307.60000000,39634.29000000,39270.00000000,39398.89000000,3340.69119000,1706032799999,131788542.92830680,120192,1889.03175000,74535466.17820920,0
1706032800000,39398.88000000,39654.34000000,39092.54000000,39092.54000000,2484.66969000,1706036399999,97950134.14205980,95399,1224.03517000,48274656.21512950,0
1706036400000,39092.55000000,39287.57000000,38981.10000000,39148.07000000,1755.83945000,1706039999999,68732017.91298910,61667,854.65504000,33456738.58325590,0
1706040000000,39148.07000000,39365.96000000,39032.02000000,39175.06000000,2123.40651000,1706043599999,83326660.96379820,70714,1094.96640000,42973696.45834020,0
1706043600000,39175.07000000,39303.91000000,39070.00000000,39223.75000000,1242.30046000,1706047199999,48660504.58982050,50339,566.32424000,22181123.34681010,0
1706047200000,39223.76000000,39554.70000000,39201.10000000,39468.71000000,1183.11412000,1706050799999,46625508.97685010,47004,646.72436000,25480927.76582850,0
1706050800000,39468.71000000,39907.23000000,39468.71000000,39897.60000000,2858.11576000,1706054399999,113521503.93303630,68758,1820.18989000,72289849.02717000,0
1706054400000,39897.59000000,40250.00000000,39784.34000000,40179.52000000,2520.72618000,1706057999999,100835601.46359900,82144,1375.96300000,55049093.69035800,0
